From	To
Q13885	7280
P27986	5295
P12821	1636
O15218	11318
Q14331	2483
Q96S44	112858
P46977	3703
O14832	5264
Q6NZ36	199990
Q9UL68	23040
A0A024R6X1	8824
Q567V2	84769
O60704	8459
Q96PX1	114804
P24043	3908
Q08999	5934
P23508	4163
Q9Y2G3	23200
Q9H8P0	79644
Q96F07	26999
A0A087WTM5	80196
P21452	6865
C9JXA2	2042
P51654	2719
P02778	3627
Q9Y2B0	10330
P40818	9101
Q13546	8737
P32456	2634
P47992	6375
Q9UKA8	11123
O15342	8992
Q86UU1	23187
Q13491	2824
P06746	5423
Q96GA3	84946
Q9BR39	57158
Q499Z4	79894
B4E127	6996
F5H5R8	9
A0A0U1RRB6	23233
P02788	4057
A0A087X0I6	4139
A8K0R7	55778
O15522	26257
Q6ICH7	57168
P05997	1290
Q6DN14	79772
E7EPP6	1111
P62899	6160
Q969Q4	115761
P39900	4321
Q15726	3814
P27469	50486
Q7KZF4	27044
P80108	2822
P28845	3290
Q99689	9638
Q8TAP4	55885
Q96A57	29058
P51648	224
Q9BVJ7	54935
P30939	3355
Q8NGB8	390649
O43897	7092
Q9H4L4	26168
A6NMZ7	131873
Q6GMV3	391356
Q9HCN3	58986
O15209	9278
A6NNY8	389856
Q6VN20	57610
Q8NB14	84640
Q16878	1036
P21941	4146
Q9HA82	79603
Q02878	6128
Q9Y2U8	23592
Q96K58	79759
Q9UK08	94235
Q9Y692	10691
Q13797	3680
Q8N5Z0	51166
Q6ZVK8	79873
F5GYN7	84083
Q9UBU2	27123
O95613	5116
Q9H3M0	3754
E9PBC5	3818
P84074	3208
Q6PJ69	201292
Q6UXB8	221476
B7Z1U7	54715
Q00577	5813
Q99819	398
Q4G0P3	54768
Q8WVV4	79983
Q96EC8	286451
M9RSF4	3665
O00168	5348
Q9BQ90	116138
P06132	7389
P16233	5406
P07996	7057
I3L2C7	50628
Q9GZY6	7462
Q9Y5K6	23607
P61011	6729
Q969H6	51367
O75264	284422
G3XAN4	23471
P0C0P6	594857
P61812	7042
Q9NPA5	55734
Q9H2U2	27068
Q9ULW5	25837
B4DTR8	9388
Q96F45	84858
P05546	3053
